Orthogroup	C. briggsae (AF16)	C. nigoni (JU1421)	C. elegans (N2)
OG0000010	"CBR05535, CBR05536, CBR05537, CBR09876"	"CNI07011, CNI07012, CNI07013, CNI07014, CNI07015, CNI07016, CNI07018, CNI07019, CNI07020, CNI07021, CNI07022, CNI07025, CNI07033, CNI07034, CNI07041, CNI07045, CNI07046, CNI07049, CNI07050, CNI07054, CNI07055, CNI07056, CNI07060, CNI07061, CNI07062, CNI13177"	
OG0000011	"CBR16620, CBR16682"	"CNI21736, CNI21898, CNI22268, CNI22329, CNI22330, CNI22332, CNI22333, CNI22334, CNI22335, CNI22336, CNI22337, CNI22338, CNI22339, CNI22340, CNI22341, CNI22343, CNI22344, CNI22407, CNI22409, CNI22410, CNI22411, CNI22414, CNI22415, CNI22416, CNI22417, CNI22418, CNI22419, CNI22420, CNI22421, CNI22422, CNI22423, CNI22425, CNI22427, CNI22429, CNI22430, CNI22431, CNI22432, CNI22434, CNI22435, CNI22436, CNI22437, CNI22438, CNI22439, CNI22440, CNI22441, CNI24397"	
OG0000012	"CBR04524, CBR04525, CBR04597, CBR04601, CBR04617, CBR04631, CBR04632, CBR04834, CBR04936, CBR04977, CBR05066, CBR05083, CBR05118, CBR05125, CBR05129, CBR08265, CBR09403, CBR13943, CBR14741, CBR16093"	"CNI05843, CNI05844, CNI05921, CNI05951, CNI05952, CNI06163, CNI06278, CNI06325, CNI06429, CNI06445, CNI06462, CNI06483, CNI06490, CNI06494, CNI10840, CNI10843, CNI12445, CNI18376, CNI19380, CNI19454, CNI20869, CNI20870"	"WBGene00003424, WBGene00003425, WBGene00003426, WBGene00003429, WBGene00003431, WBGene00003432, WBGene00003435, WBGene00003438, WBGene00003443, WBGene00003444, WBGene00003446, WBGene00003449, WBGene00003452, WBGene00003457, WBGene00003458, WBGene00003463, WBGene00003464, WBGene00003465, WBGene00003466, WBGene00003467, WBGene00003468, WBGene00003469, WBGene00003470, WBGene00022002, WBGene00022005"
OG0000013	"CBR05417, CBR05418, CBR05554, CBR05850, CBR05914, CBR05936, CBR05939, CBR05942, CBR05943, CBR06003, CBR06007, CBR06017, CBR06033, CBR06040, CBR06094"	"CNI07107, CNI07382, CNI07471, CNI07472, CNI07485, CNI07507, CNI07521, CNI07522, CNI07523, CNI07660, CNI07669, CNI07670, CNI07671, CNI07679, CNI07681, CNI07682, CNI07683, CNI07684, CNI07685, CNI07894, CNI07895, CNI07896, CNI07898, CNI07899, CNI07901, CNI07902, CNI07904, CNI07906, CNI07908, CNI08038, CNI08040"	
OG0000014	"CBR00136, CBR02245, CBR02501, CBR04018, CBR05675, CBR07620, CBR07880, CBR08719, CBR13531, CBR16462, CBR19680, CBR21076, CBR21120, CBR21121"	"CNI04779, CNI06004, CNI08224, CNI09311, CNI09325, CNI12455, CNI13520, CNI15806, CNI15809, CNI16597, CNI16598, CNI17337, CNI17932, CNI18579, CNI18688, CNI20997, CNI21384, CNI21903, CNI22290, CNI24576, CNI24871, CNI24963, CNI26197, CNI26220, CNI26772, CNI27027, CNI27096, CNI27433"	
OG0000015	"CBR02648, CBR02662, CBR05693, CBR18051, CBR19924"	"CNI03204, CNI03373, CNI03402, CNI03410, CNI03413, CNI03414, CNI03415, CNI03416, CNI03420, CNI03421, CNI03422, CNI03423, CNI03424, CNI03425, CNI03429, CNI03431, CNI03433, CNI03435, CNI03436, CNI03437, CNI03439, CNI03442, CNI03444, CNI03446, CNI03447, CNI03449, CNI03450, CNI03451, CNI03529, CNI07333, CNI07494, CNI11257, CNI13362, CNI24079, CNI24720"	"WBGene00009519, WBGene00009525, WBGene00014761, WBGene00019533, WBGene00019933, WBGene00219216"
OG0000016	"CBR12782, CBR12783, CBR12883, CBR12890, CBR13068, CBR15608"	"CNI05590, CNI05888, CNI06295, CNI06296, CNI06547, CNI14990, CNI14991, CNI16745, CNI16746, CNI16747, CNI16758, CNI16760, CNI16761, CNI16762, CNI16856, CNI16857, CNI16858, CNI16859, CNI16860, CNI16938, CNI16956, CNI16965, CNI16966, CNI16967, CNI16968, CNI16973, CNI16980, CNI16995, CNI16996, CNI16997, CNI16998, CNI17000, CNI17001, CNI17003, CNI17004, CNI17005, CNI17014, CNI17036, CNI17042, CNI17226"	WBGene00016308
OG0000017	"CBR03311, CBR03614, CBR03615, CBR08904, CBR09005"	"CNI03017, CNI03019, CNI03020, CNI03035, CNI04260, CNI04328, CNI04329, CNI04330, CNI04332, CNI04351, CNI04352, CNI04816, CNI04873, CNI04877, CNI04929, CNI05588, CNI05589, CNI05606, CNI05699, CNI11663, CNI11664, CNI11678, CNI11703, CNI11704, CNI11707, CNI11708, CNI11943, CNI11947, CNI11948, CNI11991, CNI11993, CNI12094, CNI15384, CNI21486, CNI23046"	WBGene00011475
OG0000018	"CBR08612, CBR09970"	"CNI00991, CNI01226, CNI01776, CNI01904, CNI02257, CNI02412, CNI02431, CNI02432, CNI02551, CNI02832, CNI03062, CNI04912, CNI05635, CNI05668, CNI06256, CNI06845, CNI07126, CNI09901, CNI10161, CNI11058, CNI11751, CNI13181, CNI13317, CNI13428, CNI13523, CNI13612, CNI13786, CNI15050, CNI19403, CNI20079, CNI20253, CNI21002, CNI22227, CNI22239"	
OG0000019	"CBR05565, CBR05954, CBR05956, CBR05957, CBR05986, CBR05992, CBR05993, CBR05994, CBR09159"	"CNI00777, CNI06045, CNI06736, CNI06823, CNI06824, CNI06955, CNI07123, CNI07727, CNI07728, CNI07730, CNI07731, CNI07733, CNI07734, CNI07735, CNI07738, CNI07739, CNI07742, CNI07743, CNI07744, CNI07745, CNI07746, CNI07749, CNI07751, CNI07818, CNI07819, CNI07822, CNI07823, CNI07853, CNI07861, CNI07862, CNI09445"	
OG0000020	"CBR13206, CBR13209, CBR13210, CBR13419, CBR13420, CBR13421, CBR13422, CBR16237, CBR16238, CBR16239, CBR16240, CBR16250, CBR16251, CBR16252, CBR16253, CBR16254, CBR16255"	"CNI17382, CNI17383, CNI17666, CNI17667, CNI17668, CNI17669, CNI17670, CNI17671, CNI17672, CNI17673, CNI21049, CNI21050, CNI21051, CNI21052, CNI21068, CNI21069, CNI21070, CNI21071"	"WBGene00008716, WBGene00008717, WBGene00019065, WBGene00235327, WBGene00255731, WBGene00255732, WBGene00255733"
OG0000021	"CBR09734, CBR09735, CBR12947, CBR13300, CBR13310, CBR13313, CBR13334, CBR13354, CBR13358, CBR13359, CBR13360, CBR21200, CBR21201"	"CNI17078, CNI17489, CNI17507, CNI17508, CNI17515, CNI17516, CNI17542, CNI17579, CNI17581, CNI17582, CNI17583, CNI21713, CNI21723, CNI21728, CNI24737, CNI27063, CNI28597"	"WBGene00020665, WBGene00022262, WBGene00022265"
OG0000022	"CBR11597, CBR11727, CBR11836"	"CNI15073, CNI15074, CNI15220, CNI15222, CNI15224, CNI15227, CNI15229, CNI15295, CNI15299, CNI15300, CNI15301, CNI15302, CNI15304, CNI15305, CNI15306, CNI15307, CNI15308, CNI15310, CNI15311, CNI15312, CNI15315, CNI15317, CNI15318, CNI15319, CNI15321, CNI15322, CNI15323, CNI15367, CNI15368, CNI15369, CNI15370"	
OG0000023	"CBR20607, CBR20637, CBR20846, CBR20849, CBR20994, CBR21061"	"CNI27377, CNI27389, CNI27643, CNI27647, CNI27652, CNI27684, CNI27707, CNI27717, CNI27719, CNI27723, CNI27725, CNI27728, CNI27731, CNI28025, CNI28027, CNI28029, CNI28031, CNI28168, CNI28253, CNI28256, CNI28258, CNI28356, CNI28362, CNI28367, CNI28370, CNI28378, CNI28385, CNI28389, CNI28394, CNI28428"	
OG0000024	"CBR01733, CBR08449"	"CNI02069, CNI09290, CNI09291, CNI09292, CNI09293, CNI09294, CNI09295, CNI09296, CNI09452, CNI09453, CNI09454, CNI09455, CNI09456, CNI09457, CNI09458, CNI09460, CNI09461, CNI09468, CNI09472, CNI09473, CNI09474, CNI09475, CNI09478, CNI09522, CNI10524, CNI11039, CNI11041, CNI11042, CNI11309, CNI11327"	
OG0000025	"CBR08710, CBR08853"	"CNI00113, CNI00318, CNI01016, CNI02041, CNI03567, CNI04380, CNI04911, CNI05669, CNI05863, CNI06005, CNI06266, CNI06424, CNI09227, CNI09951, CNI10080, CNI10132, CNI10245, CNI11150, CNI11385, CNI11394, CNI11443, CNI11475, CNI11479, CNI11505, CNI11532, CNI11843, CNI11858, CNI11997, CNI13131, CNI13424, CNI14347, CNI19836, CNI22469, CNI28568"	
OG0000026	"CBR16810, CBR16811, CBR16851"	"CNI22141, CNI22142, CNI22282, CNI22283, CNI22284, CNI22285, CNI22286, CNI22287, CNI22288, CNI22289, CNI22292, CNI22294, CNI22295, CNI22297, CNI22298, CNI22299, CNI22300, CNI22301, CNI22302, CNI22303, CNI22304, CNI22305, CNI22307, CNI22309, CNI22310, CNI22311, CNI22313, CNI22315, CNI22316, CNI22317, CNI22318, CNI22319, CNI22324, CNI22326, CNI22327, CNI22357"	
OG0000027	"CBR07378, CBR15029, CBR15030, CBR15031, CBR18054, CBR18055, CBR18058, CBR18059, CBR18062, CBR18063, CBR18066, CBR18067, CBR19065"	"CNI09927, CNI16009, CNI19720, CNI19721, CNI19722, CNI24072, CNI24084, CNI24085, CNI24089, CNI24092, CNI24094, CNI24096, CNI24098, CNI24101, CNI24436, CNI24445, CNI24451, CNI25132, CNI25772"	"WBGene00000063, WBGene00000064, WBGene00000065, WBGene00000066, WBGene00000067"
OG0000028	"CBR00045, CBR18381, CBR19829"	"CNI00460, CNI00461, CNI00462, CNI00463, CNI00465, CNI00466, CNI00467, CNI00468, CNI00469, CNI00473, CNI00474, CNI00475, CNI00477, CNI00478, CNI00479, CNI00480, CNI00733, CNI00839, CNI03356, CNI03403, CNI03561, CNI04396, CNI07457, CNI07460, CNI15953, CNI24347, CNI24348"	WBGene00021576
OG0000029	"CBR09831, CBR18578, CBR18580, CBR18626, CBR19654, CBR19681, CBR20980, CBR21001, CBR21002, CBR21003, CBR21072, CBR21146"	"CNI13083, CNI24729, CNI24753, CNI25153, CNI25167, CNI25190, CNI25273, CNI25303, CNI26408, CNI26410, CNI26444, CNI28141, CNI28235, CNI28271, CNI28272, CNI28273, CNI28274, CNI28399, CNI28406, CNI28454, CNI28505"	"WBGene00010253, WBGene00017363"
OG0000030	"CBR00218, CBR00234, CBR01174, CBR02355, CBR02659, CBR02667, CBR03182, CBR03265, CBR05927, CBR06211, CBR06288, CBR06346, CBR06688, CBR07504, CBR08829, CBR08895, CBR08972, CBR09944, CBR09948, CBR10031, CBR10062, CBR10263, CBR11486, CBR11912, CBR12030, CBR13341, CBR13423, CBR13479, CBR13977, CBR14031, CBR14147, CBR14237, CBR14390, CBR14617, CBR15402, CBR15454, CBR15459, CBR16478, CBR16547, CBR16662, CBR16766, CBR16767, CBR16781, CBR16834, CBR18235, CBR18314, CBR18917, CBR20989"	CNI17964	
OG0000031	"CBR03682, CBR16862, CBR16867"	"CNI04875, CNI04904, CNI06869, CNI09191, CNI09429, CNI11293, CNI11308, CNI11325, CNI11326, CNI21665, CNI22256, CNI22257, CNI22359, CNI22361, CNI22363, CNI22364, CNI22365, CNI22366, CNI22368, CNI22369, CNI22373, CNI22396, CNI22399, CNI22400"	
OG0000032	"CBR18603, CBR18604, CBR18606, CBR18607, CBR20084, CBR20085, CBR21097, CBR21098, CBR21099, CBR21100, CBR21107, CBR21108, CBR21111"	"CNI18297, CNI24206, CNI25266, CNI25267, CNI26943, CNI26946, CNI26947, CNI27351, CNI27352, CNI28491, CNI28492, CNI28495, CNI28496, CNI28497"	
OG0000033	"CBR03272, CBR05781, CBR09835, CBR09979, CBR11615, CBR13435, CBR16234, CBR18266, CBR20013, CBR20190, CBR21136, CBR21137"	"CNI02306, CNI03143, CNI04377, CNI04378, CNI05288, CNI08563, CNI08564, CNI08565, CNI08681, CNI13009, CNI15568, CNI15570, CNI15622, CNI20724, CNI22877, CNI23802, CNI24286, CNI24665, CNI24666, CNI24691, CNI26343, CNI27848, CNI28055, CNI28250, CNI28431"	
OG0000034	"CBR00058, CBR00059, CBR00060, CBR00061"	"CNI00405, CNI00406, CNI00407, CNI00408, CNI00410, CNI00411, CNI00412, CNI00414, CNI00415, CNI00416, CNI00417, CNI00418, CNI00419, CNI00420, CNI00421, CNI00422, CNI00423, CNI00424, CNI00425, CNI00426, CNI00427, CNI00428, CNI00429"	
OG0000035	"CBR13762, CBR16348, CBR16560, CBR16573, CBR16577, CBR16649, CBR16790, CBR18130, CBR21204"	"CNI18156, CNI21549, CNI21550, CNI21551, CNI21552, CNI21553, CNI21554, CNI21555, CNI21780, CNI21781, CNI21793, CNI21794, CNI21795, CNI21797, CNI21798, CNI21799, CNI21836, CNI21975, CNI22136, CNI22447, CNI24204, CNI24205, CNI24209"	
OG0000036	"CBR03351, CBR03700, CBR03701"	"CNI04913, CNI04915, CNI04916, CNI04918, CNI04919, CNI04920, CNI04940, CNI04941, CNI04942, CNI04945, CNI04946, CNI04949, CNI04950, CNI04951, CNI04952, CNI04953, CNI04954, CNI04955, CNI04956, CNI04957, CNI04958, CNI04959, CNI04960, CNI04961, CNI04962, CNI04963, CNI04964, CNI11004, CNI23039"	
OG0000037	"CBR16319, CBR16321, CBR18084"	"CNI21143, CNI21144, CNI21145, CNI21146, CNI21147, CNI21621, CNI22348, CNI22350, CNI22351, CNI22352, CNI22353, CNI22354, CNI22355, CNI22356, CNI22402, CNI22403, CNI22404, CNI22405, CNI22406, CNI22412, CNI22413, CNI24144, CNI24146"	
OG0000038	CBR05333	"CNI06726, CNI06781, CNI07545, CNI07769, CNI07771, CNI07778, CNI07783, CNI07787, CNI07788, CNI07789, CNI07792, CNI07794, CNI07795, CNI07796, CNI07798, CNI07800, CNI07802, CNI07803, CNI07807, CNI07808, CNI07809, CNI07810, CNI07811, CNI07812, CNI07814"	
OG0000039	"CBR01024, CBR01218, CBR10690, CBR10720, CBR10882, CBR12892, CBR12899, CBR14712, CBR14718, CBR14723, CBR15885"	"CNI01335, CNI01535, CNI14102, CNI14126, CNI14295, CNI17016, CNI17026, CNI19343, CNI19348, CNI19353, CNI20633, CNI24767, CNI24796"	"WBGene00001877, WBGene00001881, WBGene00001886, WBGene00001890, WBGene00001893, WBGene00001895, WBGene00001904, WBGene00001907, WBGene00001909, WBGene00001917, WBGene00001921, WBGene00001925, WBGene00001927, WBGene00001931, WBGene00001935, WBGene00001939, WBGene00001942"
OG0000040	"CBR01025, CBR06730, CBR08788, CBR10686, CBR10724, CBR10879, CBR12893, CBR12898, CBR14716, CBR14719, CBR19711"	"CNI00484, CNI01336, CNI08967, CNI11631, CNI14098, CNI14136, CNI14292, CNI17017, CNI17025, CNI19346, CNI19349, CNI26473"	"WBGene00001876, WBGene00001880, WBGene00001883, WBGene00001887, WBGene00001891, WBGene00001899, WBGene00001901, WBGene00001906, WBGene00001914, WBGene00001916, WBGene00001919, WBGene00001923, WBGene00001929, WBGene00001933, WBGene00001937, WBGene00001943, WBGene00001945, WBGene00012276"
OG0000041		"CNI14131, CNI15784, CNI15785, CNI15786, CNI15787, CNI15793, CNI15794, CNI15795, CNI15796, CNI15805, CNI15812, CNI15814, CNI15822, CNI15828, CNI15829, CNI15832, CNI15833, CNI15836, CNI15837, CNI15838, CNI15840, CNI15842, CNI15843, CNI15844, CNI15845, CNI15847, CNI15848, CNI15850, CNI15851, CNI15854, CNI15855, CNI15856, CNI15857, CNI15858"	
